ranking,team,squad_size,avg_age,total_value,confederation,points
152,Guyana,23,27.2,€6.80m,CONCACAF,1038
153,Hong Kong,37,28.7,€6.35m,AFC,1033
154,Moldova,26,27.9,€15.13m,UEFA,1031
155,Eswatini,23,28.1,€450k,CAF,1023
156,Tahiti,19,27.8,€50k,OFC,1019
157,Puerto Rico,23,23.6,€1.13m,CONCACAF,1019
158,Yemen,19,24.9,€1.20m,AFC,1018
159,Antigua and Barbuda,22,23.1,€175k,CONCACAF,1011
160,Afghanistan,22,26,€735k,AFC,1008
161,Singapore,24,27.6,€2.98m,AFC,1002
162,Myanmar,26,26,€3.65m,AFC,995
163,Vanuatu,24,28.7,€660k,OFC,992
164,Maldives,22,28.3,€1.43m,AFC,986
165,Saint Lucia,24,27.6,€725k,CONCACAF,986
166,Chinese Taipei,25,25.2,€1.85m,AFC,980
167,Cuba,23,23.3,€1.93m,CONCACAF,980
168,Bermuda,23,26.3,€275k,CONCACAF,978
169,Malta,25,27.5,€12.88m,UEFA,976
170,South Sudan,23,23.4,-,CAF,976
171,Papua New Guinea,24,28.8,-,OFC,969
172,Saint Vincent and the Grenadines,23,25.8,€435k,CONCACAF,966
173,Andorra,30,28.3,€3.67m,UEFA,957
174,Grenada,20,25.5,€125k,CONCACAF,954
175,Nepal,23,26,€1.75m,AFC,936
176,Barbados,24,25.3,€700k,CONCACAF,933
177,Chad,24,24,€50k,CAF,925
178,Mauritius,20,26.4,€825k,CAF,922
179,Belize,23,24.5,€475k,CONCACAF,919
180,Montserrat,17,26.4,€450k,CONCACAF,914
181,Cambodia,23,25.7,€2.78m,AFC,913
182,Bhutan,23,23.9,€625k,AFC,907
183,Bangladesh,23,24.9,€7.78m,AFC,904
184,Dominica,23,26.3,-,CONCACAF,900
185,Brunei Darussalam,23,26.9,€625k,AFC,893
186,American Samoa,23,24.8,-,OFC,883
187,Mongolia,20,25,€1.18m,AFC,880
188,Cook Islands,19,28,-,OFC,878
189,Samoa,24,23.8,€205k,OFC,876
190,Laos,23,22.1,€1.73m,AFC,876
191,Cayman Islands,24,25.4,€10k,CONCACAF,867
192,Djibouti,18,27.7,-,CAF,866
193,Macau,23,25.7,€335k,AFC,865
194,São Tome and Principe,22,26,€750k,CAF,865
195,Aruba,23,25,-,CONCACAF,864
196,Gibraltar,23,23.7,€1.55m,UEFA,843
197,Timor-Leste,23,23.3,€950k,AFC,840
198,Pakistan,23,24.5,€1.30m,AFC,838
199,Tonga,23,22.9,€10k,OFC,836
200,Sri Lanka,23,27.6,€1.68m,AFC,834
201,Somalia,25,25.9,€760k,CAF,832
202,Guam,20,23.5,€350k,AFC,823
203,Seychelles,23,24.2,€50k,CAF,821
204,Bahamas,18,23,-,CONCACAF,819
205,Liechtenstein,23,26.3,€900k,UEFA,814
206,Turks and Caicos Islands,16,21,€75k,CONCACAF,804
207,British Virgin Islands,20,22.3,-,CONCACAF,780
208,United States Virgin Islands,20,24.9,-,CONCACAF,780
209,Anguilla,22,24.5,-,CONCACAF,769
210,San Marino,28,24,€870k,UEFA,741
