date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_confederation,home_team_ranking,away_team_confederation,away_team_ranking
1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True,UEFA,1853.0,CONCACAF,1647.0
1930-07-15,Argentina,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,CONMEBOL,1886.0,UEFA,1853.0
1930-07-19,Argentina,Mexico,6,3,FIFA World Cup,Montevideo,Uruguay,True,CONMEBOL,1886.0,CONCACAF,1647.0
1930-07-30,Uruguay,Argentina,4,2,FIFA World Cup,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1930-08-01,Brazil,France,3,2,Friendly,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,UEFA,1853.0
1931-01-25,Italy,France,5,0,Friendly,Bologna,Italy,False,UEFA,1718.0,UEFA,1853.0
1931-03-15,France,Germany,1,0,Friendly,Colombes,France,False,UEFA,1853.0,UEFA,1717.0
1931-04-19,Spain,Italy,0,0,Friendly,Bilbao,Spain,False,UEFA,1855.0,UEFA,1718.0
1931-09-06,Brazil,Uruguay,2,0,Copa Rio Branco,Rio de Janeiro,Brazil,False,CONMEBOL,1776.0,CONMEBOL,1679.0
1932-04-10,France,Italy,1,2,Friendly,Colombes,France,False,UEFA,1853.0,UEFA,1718.0
1932-05-15,Argentina,Uruguay,2,0,Friendly,Buenos Aires,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
1932-05-18,Uruguay,Argentina,1,0,Friendly,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1932-12-04,Uruguay,Brazil,1,2,Copa Rio Branco,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1776.0
1933-01-01,Italy,Germany,3,1,Friendly,Bologna,Italy,False,UEFA,1718.0,UEFA,1717.0
1933-01-21,Uruguay,Argentina,2,1,Friendly,Montevideo,Uruguay,False,CONMEBOL,1679.0,CONMEBOL,1886.0
1933-02-05,Argentina,Uruguay,4,1,Friendly,Avellaneda,Argentina,False,CONMEBOL,1886.0,CONMEBOL,1679.0
